title;published_date;data_url;creator;description;unit;fail_reason
Actief in bewonersgroep;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat actief is in een bewonersgroep.;procent personen;
Actieve betrokkenheid van de burger;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_SA_S_02.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat het afgelopen jaar actief is geweest om iets in de buurt of in de gemeente/stad te verbeteren.;procent personen;
Activiteitsgraad;oktober 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WE_28.csv;Steunpunt Werk - Vlaamse Arbeidsrekening o.b.v. RSZ, RSVZ, RIZIV, RVA, Statbel (Algemene Directie Statistiek – Statistics Belgium), DWH AM&SB bij de KSZ, BISA;De activiteitsgraad wordt berekend als het aandeel van de beroepsbevolking in de totale bevolking op arbeidsleeftijd (van 20 tot en met 64 jaar). Bij de totale bevolking op arbeidsleeftijd (van 20 tot en met 64 jaar) maakt men een onderscheid tussen de niet-beroepsactieve bevolking en de beroepsbevolking op arbeidsleeftijd. De niet-beroepsactieve bevolking bestaat uit die personen die niet werken, niet beschikbaar zijn voor een job en/of niet actief op zoek zijn naar een job. De beroepsbevolking bestaat uit diegenen die aan het werk zijn (werkenden) en zij die beschikbaar zijn voor een job en actief op zoek naar werk (niet-werkende werkzoekenden).;procent werkenden;
Amateurkunstenorganisaties;juni 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_01.csv;Sisca;Aantal amateurkunstenorganisaties per 10.000 inwoners.;per 10.000 inwoners organisaties;
Antibioticumconsumptie;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_07.csv;InterMutualistisch Agentschap;Aantal terugbetaalde DDD (standaard dagdosis) antibioticum per 1.000 rechthebbenden per dag tussen 1 juli van het jaar en 30 juni van het volgende kalenderjaar – ambulante praktijk.;per 1.000 rechthebbenden dosissen;
Autofinancieringsmarge;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_16.csv;Agentschap Binnenlands Bestuur;De autofinancieringsmarge (AFM) is het verschil tussen enerzijds het deel van de ontvangsten en uitgaven uit de exploitatie dat gebruikt kan worden voor de vereffening van de netto periodieke leningsuitgaven, en anderzijds de netto periodieke leningsuitgaven.De AFM is het verschil tussen het exploitatiesaldo en de aflossingen van leningen. Ze geeft weer of de financiën van het bestuur op een structurele manier in evenwicht zijn en duidt aan of het bestuur in staat is zijn leningslasten (aflossingen van kapitaal en intresten) te dragen met het overschot uit de gewone werking (het saldo van de exploitatie-ontvangsten en uitgaven). Een positieve AFM betekent dat er van het exploitatiesaldo, na het vereffenen van de leningslasten, nog middelen overblijven om een deel van de investeringsuitgaven rechtstreeks te financieren of om bijkomende leningen aan te gaan. Opdat niet-recurrente verrichtingen geen vertekend beeld zouden geven, wordt de AFM maar geëvalueerd op het laatste jaar van de financiële nota van het meerjarenplan. Voor de tussenliggende jaren is wel een negatieve autofinancieringsmarge mogelijk (voor gemeentebesturen, niet voor OCMW).;per inwoner euro;
Bebouwde oppervlakte, naar functie;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_RU_02.csv;Statbel;Aandeel van de bebouwde oppervlakte volgens functie: woonfunctie, economische functie, welzijn en recreatie.;procent hectare;
Bebouwingsgraad;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_RU_01.csv;Statbel;Hoeveelheid bebouwde oppervlakte ten opzichte van de totale oppervlakte van de gemeente.;procent hectare;
Belastingtarief aanvullende personenbelasting;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_09.csv;Agentschap Binnenlands Bestuur;Belastingtarief van de aanvullende personenbelasting. De personenbelasting is de inkomstenbelasting die de federale overheid heft op het jaarinkomen van particulieren. De aanvullende belasting op de personenbelasting (ABP) wordt gevestigd als een percentage op de inkomstenbelastingen, die geregeld, gevestigd, en ingevorderd worden door de federale overheid.De personenbelasting is een jaarlijkse belasting die de federale overheid heft op het inkomen van particulieren. De gemeente voegt daar een aanvullende heffing aan toe door de bepaling van de aanslagvoet in de vorm van een percentage. Wanneer de gemeente bv. beslist om 7% aanvullende personenbelasting (APB) te heffen, moet de belastingsplichtige voor elke 100 euro die hij moet betalen voor de basisbelasting, 7 euro (=100 euro x 7%) bijkomend betalen voor de gemeente. De inning gebeurt door de federale overheid en wordt afgedragen aan de gemeente.;;
Bereidheid om mee te praten over de gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat bereid is om mee te praten over wat er gebeurt in de gemeente/stad.;procent personen;
Bereik niet-Belgische kiezers;juni 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_34.csv;Federale Overheidsdienst Binnenlandse Zaken;Aantal ingeschreven kiezers met vreemde nationaliteit ten opzichte van het aantal potentiële kiezers.Personen die zich als kiezer hebben ingeschreven bij de gemeenteraadsverkiezingen: alle inwoners met een huidige vreemde (= niet-Belgische) nationaliteit die voor 1 augustus van het jaar van de verkiezingen een aanvraag om als gemeenteraadskiezer erkend te worden hebben ingediend bij het gemeentebestuur en die voldoen aan de voorwaarden van de wet van 19 maart 2004.Potentiële kiezers: alle inwoners met een huidige vreemde (= niet-Belgische) nationaliteit. Bij de niet-EU-burgers gaat het enkel om diegenen die voldoen aan de voorwaarden van de wet van 19 maart 2004: onder meer minstens 5 jaar ononderbroken hoofdverblijfplaats in België.;procent kiezers;
Bereik niet-Belgische kiezers, naar nationaliteit;juni 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_IN_33.csv;Federale Overheidsdienst Binnenlandse Zaken;Aantal ingeschreven kiezers met vreemde nationaliteit ten opzichte van het aantal potentiële kiezers per nationaliteitsgroep.Personen die zich als kiezer hebben ingeschreven bij de gemeenteraadsverkiezingen: alle inwoners met een huidige vreemde (= niet-Belgische) nationaliteit die voor 1 augustus van het jaar van de verkiezingen een aanvraag om als gemeenteraadskiezer erkend te worden hebben ingediend bij het gemeentebestuur en die voldoen aan de voorwaarden van de wet van 19 maart 2004.Potentiële kiezers: alle inwoners met een huidige vreemde (= niet-Belgische) nationaliteit. Bij de niet-EU-burgers gaat het enkel om diegenen die voldoen aan de voorwaarden van de wet van 19 maart 2004: onder meer minstens 5 jaar ononderbroken hoofdverblijfplaats in België.;procent kiezers;
Bereikbaarheid openbaar vervoer;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_MO_10.csv;Departement Omgeving;Aandeel van de inwoners die wonen op een plaats die goed tot zeer goed bereikbaar is met openbaar vervoer.;procent personen;
Betalingsmoeilijkheden;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden, nl. dat het afgelopen jaar problemen heeft gehad om één of meerdere rekeningen (op tijd) te betalen (huishuur/afbetaling woning, energiekosten, gezondheidskosten, schoolkosten, internet/telefonie/televisie, ...).;procent personen;
Betalingsmoeilijkheden energie en water;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_KL_S_06.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar elektriciteit, water, gas of stookolie niet (op tijd) kon betalen.;procent personen;
Betalingsmoeilijkheden gezondheidszorg;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar gezondheidsuitgaven niet (op tijd) kon betalen.;procent personen;
Betalingsmoeilijkheden internet/telefonie/televisie;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_24.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar kosten voor internet, telefonie of televisie niet (op tijd) kon betalen.;procent personen;
Betalingsmoeilijkheden kinderopvang;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_S_02.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar kinderopvang niet (op tijd) kon betalen.;procent personen;
Betalingsmoeilijkheden schoolkosten;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ON_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar schoolkosten niet (op tijd) kon betalen.;procent personen;
Betalingsmoeilijkheden terugbetaling;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_S_04.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen aankopen op afbetaling niet kon terugbetalen.;procent personen;
Betalingsmoeilijkheden voeding;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_AR_S_03.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar voeding niet kon betalen.;procent personen;
Betalingsmoeilijkheden wonen;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_01.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat behoort tot een huishouden met betalingsmoeilijkheden dat het afgelopen jaar woonkosten niet (op tijd) kon betalen.;procent personen;
Bevolkingsdichtheid;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_13.csv;Statbel;Aantal inwoners per km².;per km² personen;
Bezettingsgraad van bedrijventerreinen;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_15.csv;Agentschap Innoveren en Ondernemen;Aandeel bezette oppervlakte bedrijventerreinen op het grondgebied van de gemeente.;procent bedrijventerreinen;
Bezoek bos, park, groenzone in eigen of andere gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_31.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een bos, park of groenzone bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;procent personen;
Bezoek huisarts;december 2021;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_01.csv;InterMutualistisch Agentschap;Aandeel rechthebbenden die minstens één contact (raadpleging/bezoek) met de huisarts hebben.;procent rechthebbenden;
Bezoek museum, tentoonstelling in eigen of andere gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_S_02.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een museum, tentoonstelling, galerij of historisch gebouw heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;procent personen;
Bezoek tandarts;juli 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_ZO_02.csv;InterMutualistisch Agentschap;Aandeel rechthebbenden die minstens twee contacten met de tandarts hebben in twee verschillende jaren binnen een periode van drie kalenderjaren (jaar x, jaar x-1, jaar x-2).;procent rechthebbenden;
Bezoeken podiumkunsten, concert in eigen of andere gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_S_04.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een toneel-/dansvoorstelling, concert... heeft bijgewoond in de eigen gemeente/stad of in een andere gemeente/stad.;procent personen;
Bezoldigde werkgelegenheid, naar hoofdsectoren;februari 2022;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_16.csv;Rijksdienst voor Sociale Zekerheid;"Aandeel van de hoofdsectoren in de totale bezoldigde werkgelegenheid. De hoofdsectoren zijn:(1) primaire sector: NACE 01-09 (landbouw en visserij, delfstofwinning);(2) industrie: NACE 10-32 en 35-39;(3) bouw: NACE 41-43;(4) tertiaire sector: NACE 33 + NACE 45-82 + NACE 95-98 (handel en diensten);(5) quartaire sector: NACE 84-94 + NACE 99 (publieke sector, gezondheidszorg, cultuur & sport).";procent personen;
Bibliotheekbezoek in eigen of andere gemeente;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_S_03.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat het afgelopen jaar minstens één keer een bibliotheek heeft bezocht in de eigen gemeente/stad of in een andere gemeente/stad.;procent personen;
Bibliotheken: exemplaren;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_19.csv;Cultuurconnect, via Departement Cultuur, Jeugd en Media;Aantal exemplaren binnen de bibliotheekcollectie (op papier gedrukt/audiovisueel) naar doelgroep (jeugd/volwassenen/onbekend), per 100 inwoners;per 100 inwoners exemplaren;
Bibliotheken: ontleningen;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_CU_20.csv;Cultuurconnect, via Departement Cultuur, Jeugd en Media;Aantal ontleningen uit de bibliotheekcollectie (van op papier gedrukte of audiovisuele exemplaren) naar doelgroep (jeugd/volwassenen/onbekend), per 100 inwoners;per 100 inwoners uitleningen;
Borelingen, naar nationaliteit moeder;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_67.csv;Kind & Gezin;Aandeel borelingen naar geboortenationaliteit van de moeder. Het gaat om cijfers over borelingen volgens hun domicilie-adres op 31 december van het jaar en de ingeweken borelingen worden meegeteld. De percentages zijn berekend ten opzichte van de kinderen waarvoor we de nationaliteit geregistreerd hebben (meer dan 93% van de borelingen).Wanneer er in een gemeente minder dan 6 borelingen zijn, tonen we de gegevens niet om de anonimiteit van de kinderen en gezinnen te respecteren.;procent borelingen;
Borelingen, naar taal moeder en kind;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_DE_68.csv;Kind & Gezin;Aandeel borelingen naar de taal die de moeder met het kind spreekt. Het gaat om cijfers over borelingen volgens hun domicilie-adres op 31 december van het jaar en de ingeweken borelingen worden meegeteld. De percentages zijn berekend ten opzichte van de kinderen waarvoor we de taal geregistreerd hebben (meer dan 93% van de borelingen).Wanneer er in een gemeente minder dan 6 borelingen zijn, tonen we de gegevens niet om de anonimiteit van de kinderen en gezinnen te respecteren.;procent borelingen;
Bouwvergunningen, naar type;mei 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_RU_08.csv;Statbel;Aantal bouwvergunningen (nieuwbouw of renovatie) naar type ten aanzien van het totaal aantal bouwvergunningen, volgens datum van uitreiking van de bouwvergunning in navolging van een bouwreglementering.;procent bouwvergunningen;
Bruto toegevoegde waarde, per inwoner;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_01.csv;Vlaamse Statistische Autoriteit;De bruto toegevoegde waarde is het verschil tussen de marktwaarde van de in één jaar geproduceerde goederen en diensten en de marktwaarde van de in het productieproces verbruikte goederen en diensten. Het is met andere woorden de waarde die de productiefactoren arbeid en kapitaal toevoegen aan de verbruikte of intermediaire goederen en diensten. De bruto toegevoegde waarde (uitgedrukt in miljoen euro) voor de gemeenten wordt als volgt berekend:S11. Bedrijven en instellingen: Vertrekbasis is de bruto toegevoegde waarde in S11 op arrondissementeel niveau. Deze wordt over de gemeenten van elk respectievelijk arrondissement verdeeld volgens de structuur van de gemeente in zijn arrondissement volgens de RSZ in de volgende bedrijfstakken: het totaal van alle bedrijfstakken minus NACE rev.2 64-66 (financiële instellingen), minus NACE rev.2 84-85 (overheid) en minus NACE rev.2 90-94 (VZW’s). Voor data van vóór 2007 wordt gebruik gemaakt van de NACE rev.1.1. Van de RSZ data wordt een jaargemiddelde gemaakt.S12. Financiële instellingen: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S12. RSZ omslagsleutel is de NACE rev.2 64-66 (financiële instellingen).S13. Overheid: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S13. RSZ omslagsleutel is de NACE rev.2 84-85 (overheid).S14. Zelfstandigen: Vertrekbasis is de bruto toegevoegde waarde in S14 op arrondissementeel niveau. Deze wordt verdeeld over de gemeenten volgens het jaargemiddelde van de RSVZ-statistiek van de zelfstandigen (zelfstandigen, helpers, hoofdberoep, bijberoep, actief na pensioenleeftijd).S15. Niet-markt VZW’s: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S15. RSZ omslagsleutel is de NACE rev.2 90-94 (VZW’s).;per inwoner euro;
Bruto toegevoegde waarde, per werkende;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_02.csv;Vlaamse Statistische Autoriteit;De bruto toegevoegde waarde is het verschil tussen de marktwaarde van de in één jaar geproduceerde goederen en diensten en de marktwaarde van de in het productieproces verbruikte goederen en diensten. Het is met andere woorden de waarde die de productiefactoren arbeid en kapitaal toevoegen aan de verbruikte of intermediaire goederen en diensten.De bruto toegevoegde waarde (uitgedrukt in miljoen euro) voor de gemeenten wordt als volgt berekend:S11. Bedrijven en instellingen: Vertrekbasis is de bruto toegevoegde waarde in S11 op arrondissementeel niveau. Deze wordt over de gemeenten van elk respectievelijk arrondissement verdeeld volgens de structuur van de gemeente in zijn arrondissement volgens de RSZ in de volgende bedrijfstakken: het totaal van alle bedrijfstakken minus NACE rev.2 64-66 (financiële instellingen), minus NACE rev.2 84-85 (overheid) en minus NACE rev.2 90-94 (VZW’s). Voor data van vóór 2007 wordt gebruik gemaakt van de NACE rev.1.1. Van de RSZ data wordt een jaargemiddelde gemaakt.S12. Financiële instellingen: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S12. RSZ omslagsleutel is de NACE rev.2 64-66 (financiële instellingen).S13. Overheid: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S13. RSZ omslagsleutel is de NACE rev.2 84-85 (overheid).S14. Zelfstandigen: Vertrekbasis is de bruto toegevoegde waarde in S14 op arrondissementeel niveau. Deze wordt verdeeld over de gemeenten volgens het jaargemiddelde van de RSVZ-statistiek van de zelfstandigen (zelfstandigen, helpers, hoofdberoep, bijberoep, actief na pensioenleeftijd).S15. Niet-markt VZW’s: Analoog aan S11. Vertrekbasis is de bruto toegevoegde waarde van S15. RSZ omslagsleutel is de NACE rev.2 90-94 (VZW’s).De werkgelegenheid voor de gemeenten wordt als volgt berekend: Uitgangspunt is de totale werkgelegenheid (bezoldigd en zelfstandig) op arrondissementeel niveau volgens de gepubliceerde regionale rekeningen van het INR. Deze wordt over de gemeenten verdeeld pro rata aandeel van elke gemeente in zijn arrondissement volgens de RSZ bezoldigde tewerkstelling en RSVZ zelfstandige tewerkstelling.;per werkende euro;
Btw-plichtige ondernemingen;januari 2024;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_EC_03.csv;Statbel;Btw-plichtige ondernemingen kunnen ingedeeld worden naar type onderneming en zijn derhalve ofwel natuurlijke personen (zelfstandigen) ofwel rechtspersonen (vennootschappen). Deze indicator geeft weer hoe groot het aandeel van die natuurlijke personen resp. rechtspersonen is in het totaal van de ondernemingen.;procent ondernemingen;
Budgettair saldo;november 2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_LO_13.csv;Agentschap Binnenlands Bestuur;Het budgettair saldo van het gemeentebestuur is de som van de exploitatie-ontvangsten, investeringsontvangsten en andere ontvangsten, verminderd met de som van de exploitatie-uitgaven, investeringsuitgaven en andere uitgaven.;per inwoner euro;
Buurthinder;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_36.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat zegt de afgelopen maand geen tot weinig hinder, gemiddelde hinder of veel hinder in de buurt heeft ondervonden. Er werd een samengestelde indicator berekend die gebaseerd is op de gemiddelde score op de tien items (de respondent moet minstens op zes items geantwoord hebben, de maximale gemiddelde score is 5). (Zie 'Vraagstelling survey' bij de detail-indicator.) Respondenten met een score van 2 of minder zitten in de categorie 'Geen tot weinig hinder', respondenten tussen 2 en 2,7 in de categorie 'Gemiddelde hinder', respondenten met een score hoger dan 2,7 in de categorie 'Veel hinder'.;procent personen;
Buurthinder: lastiggevallen worden op straat;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_37.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat de afgelopen maand werd lastiggevallen op straat.;procent personen;
Buurthinder: lawaaihinder;2023;https://data.gemeente-stadsmonitor.vlaanderen.be/brondata/indicator/gemeentestadsmonitor_WO_S_38.csv;Burgerbevraging Gemeente-Stadsmonitor, Agentschap Binnenlands Bestuur;Aandeel van de inwoners dat de afgelopen maand lawaaihinder heeft ondervonden.;procent personen;
